sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,direction,distFromRef,distFromLink
3496,6/12/2009 6:12:49 AM,13,51.496868217364,9.38602223061025,200,23,339,62005508,,30.394520017936436,2.5942364632109274
3496,6/12/2009 6:12:54 AM,13,51.4966822229326,9.38615726307034,200,10,129,567329767,F,1.2422339451235502,1.1291850340151481
3496,6/12/2009 6:12:59 AM,13,51.4967048540711,9.38642229884863,201,21,60,567329767,F,1.9227897759755526,1.4646067418567512
3496,6/12/2009 6:13:04 AM,13,51.4967492781579,9.38683996908367,201,0,360,567329767,F,4.621129617146575,0.23666963835187788
3496,6/12/2009 6:13:09 AM,13,51.4968639425933,9.38729401677847,199,0,360,567329767,F,8.010035279348726,0.18599388639845496
3496,6/12/2009 6:13:15 AM,13,51.4969302434474,9.38771596178412,198,5,89,567329767,F,10.993696827000555,0.033833949679171006
3496,6/12/2009 6:13:20 AM,13,51.4969574846327,9.38779382966459,198,1,288,567329767,F,11.605089632720539,0.06200772072486692
3496,6/12/2009 6:13:25 AM,13,51.4969521202147,9.3878052290529,197,0,310,567329767,F,11.657377671000315,0.036479672002770455
3496,6/12/2009 6:13:30 AM,13,51.4969490189105,9.38781813718379,196,0,274,567329767,F,11.72882547487138,0.01719727038217071
3496,6/12/2009 6:13:35 AM,13,51.4969443250448,9.38784018158913,196,0,226,567329767,F,11.853920330072492,0.013315253072661546
3496,6/12/2009 6:13:40 AM,13,51.4969411399215,9.3878517486155,197,0,201,567329767,F,11.91720105119369,0.03131219796747807
3496,6/12/2009 6:13:46 AM,13,51.4969385415316,9.3878554366529,197,0,182,567329767,F,11.93155320382174,0.041925434969511524
3496,6/12/2009 6:13:51 AM,13,51.4969374518842,9.38785669393837,197,0,232,567329767,F,11.935713683960767,0.046170948381362716
3496,6/12/2009 6:13:57 AM,13,51.4969362784177,9.38785945996642,197,0,202,567329767,F,11.949440901472736,0.051698979551025814
3496,6/12/2009 6:14:03 AM,13,51.4969357755035,9.38786029815674,197,0,199,567329767,F,11.953060418858358,0.053828993916037925
3496,6/12/2009 6:14:08 AM,13,51.496934518218,9.38786323182285,197,0,179,567329767,F,11.967606528077486,0.059713029104388624
3496,6/12/2009 6:14:13 AM,13,51.4969339314848,9.38786532729864,197,0,184,567329767,F,11.979155545654795,0.06294160824672979
3496,6/12/2009 6:14:19 AM,13,51.4969324227422,9.38786742277443,197,0,199,567329767,F,11.987366918369382,0.06902172460221782
3496,6/12/2009 6:14:25 AM,13,51.496931836009,9.38786884769797,197,0,178,567329767,F,11.994555701980431,0.07178989514908313
3496,6/12/2009 6:14:31 AM,13,51.4969309978187,9.38786951825023,197,0,183,567329767,F,11.995910389552195,0.07483346909741571
3496,6/12/2009 6:14:35 AM,13,51.4969305787236,9.38787002116442,197,0,194,567329767,F,11.99768513649822,0.07646605897158867
3496,6/12/2009 6:14:41 AM,13,51.4969303272665,9.3878710269928,197,0,176,567329767,F,12.00336031333919,0.07791127380001624
3496,6/12/2009 6:14:47 AM,13,51.4969306625426,9.38787245191634,197,0,172,567329767,F,12.013893350226569,0.07781494445120545
3496,6/12/2009 6:14:52 AM,13,51.4969308301806,9.38787337392569,197,0,177,567329767,F,12.02053079050952,0.07790526929156819
3496,6/12/2009 6:14:56 AM,13,51.4969311654568,9.38787396065891,197,0,195,567329767,F,12.02558507243883,0.07725562883040323
3496,6/12/2009 6:15:02 AM,13,51.496931668371,9.38787479884923,197,0,185,567329767,F,12.032881953886761,0.07625449485493443
3496,6/12/2009 6:15:07 AM,13,51.496931836009,9.38787521794438,197,0,214,567329767,F,12.036233294066943,0.07601335715968657
3496,6/12/2009 6:15:12 AM,13,51.4969319198281,9.38787555322051,197,0,190,567329767,F,12.038723752734388,0.07597589730722336
3496,6/12/2009 6:15:18 AM,13,51.4969321712852,9.3878760561347,197,0,179,567329767,F,12.042925701097717,0.07553148225981832
3496,6/12/2009 6:15:23 AM,13,51.4969322551042,9.38787639141083,197,0,183,567329767,F,12.045422249996674,0.07549414330602175
3496,6/12/2009 6:15:27 AM,13,51.4969322551042,9.38787689432502,197,0,207,567329767,F,12.048710327203956,0.07582621400039584
3496,6/12/2009 6:15:33 AM,13,51.4969324227422,9.38787722960114,197,0,191,567329767,F,12.051511957630613,0.07553018320327536
3496,6/12/2009 6:15:38 AM,13,51.4969323389232,9.38787781633437,197,0,176,567329767,F,12.055044818899749,0.07617594951487708
3496,6/12/2009 6:15:43 AM,13,51.4969324227422,9.38787823542953,197,0,176,567329767,F,12.058091360341226,0.07619378740343616
3496,6/12/2009 6:15:48 AM,13,51.4969323389232,9.38787857070565,197,0,184,567329767,F,12.059983860585401,0.07667330860350771
3496,6/12/2009 6:15:53 AM,13,51.4969323389232,9.38787907361984,197,0,185,567329767,F,12.063275431608371,0.07700465431519442
3496,6/12/2009 6:15:58 AM,13,51.4969325903803,9.38787957653403,197,0,165,567329767,F,12.067472561100342,0.0765607881570315
3496,6/12/2009 6:16:03 AM,13,51.4969328418374,9.38787982799113,197,0,190,567329767,F,12.070027431737469,0.07595157267419814
3496,6/12/2009 6:16:08 AM,13,51.4969329256564,9.38788024708629,197,0,194,567329767,F,12.073066464034493,0.0759694449713041
3496,6/12/2009 6:16:13 AM,13,51.4969329256564,9.38788058236241,198,0,199,567329767,F,12.075262294696802,0.07619025167041997
3496,6/12/2009 6:16:18 AM,13,51.4969329256564,9.38788075000048,198,0,192,567329767,F,12.07636192399721,0.07630062483963794
3496,6/12/2009 6:16:23 AM,13,51.4969329256564,9.38788091763854,198,0,230,567329767,F,12.07745772613004,0.07641097786366192
3496,6/12/2009 6:16:28 AM,13,51.4969306625426,9.38787815161049,197,0,235,567329767,T,12.051205677749687,0.08157035800684617
3496,6/12/2009 6:16:33 AM,13,51.4969599992037,9.38792869448662,196,7,43,567329767,F,12.48905871953016,0.0261933921130031
3496,6/12/2009 6:16:38 AM,13,51.4971158187836,9.38802047632635,197,18,359,78670326,,23.396064989527165,31.232259364727575
3496,6/12/2009 6:16:44 AM,13,51.4972617477179,9.38775703310966,202,15,270,567329767,T,13.001412999887624,0.9431554297782684
3496,6/12/2009 6:16:49 AM,13,51.4971753302962,9.38742351718247,200,15,231,567329767,T,10.581629720368275,1.1236813462942565
3496,6/12/2009 6:16:54 AM,13,51.4969498571008,9.3873564619571,199,19,176,567329767,T,8.81170771988879,0.46911251184053143
3496,6/12/2009 6:17:00 AM,13,51.4967702329159,9.38704147003591,198,24,252,567329767,T,5.999804835449384,0.02742451831693276
3496,6/12/2009 6:17:05 AM,13,51.4966841507703,9.38654559664428,199,24,254,567329767,T,2.471934945527361,0.47614165540336284
3496,6/12/2009 6:17:10 AM,13,51.4966936223209,9.38618022948503,200,6,251,62007637,,1.308653946005633,0.5777157483749231
3496,6/12/2009 6:17:15 AM,13,51.4966355357319,9.38613329082727,199,7,248,567329767,F,0.9097824707450759,0.5780837189659894
3496,6/12/2009 6:17:21 AM,13,51.4964812248945,9.3857971765101,201,22,239,567329767,F,3.1887802216960974,0.003265054518495139
3496,6/12/2009 6:17:26 AM,13,51.4963823184371,9.385239277035,205,26,247,567329767,F,7.1973230883604815,0.1492021617332678
3496,6/12/2009 6:17:31 AM,13,51.4963205438107,9.38492327928543,208,13,305,567329767,F,9.488849148949338,0.15427239964629685
3496,6/12/2009 6:17:35 AM,13,51.4965076278895,9.38486502505839,207,26,345,567329767,T,9.47736218096004,0.5471784756804949
3496,6/12/2009 6:17:41 AM,13,51.4969243761152,9.38465313054621,208,31,343,78670326,F,7.271633020255074,1.3608660466311764
3496,6/12/2009 6:17:46 AM,13,51.497267531231,9.38445162959397,211,27,340,78670326,F,11.318081319921243,0.1952316697273754
3496,6/12/2009 6:17:51 AM,13,51.4975834451616,9.38428876921535,210,24,344,78670326,F,15.004318893111133,0.009816867813248014
3496,6/12/2009 6:17:56 AM,13,51.4977281168103,9.38423856161535,211,5,342,78670326,F,16.64471805665338,0.2314569563988807
3496,6/12/2009 6:18:01 AM,13,51.4977094251662,9.38424132764339,211,2,134,78670326,T,16.439952886661708,0.15574572880519189
3496,6/12/2009 6:18:06 AM,13,51.4976858720183,9.38425892964005,209,1,162,78670326,T,16.15456490041982,0.2397972245197169
3496,6/12/2009 6:18:11 AM,13,51.4976861234754,9.38426261767745,207,0,172,78670326,T,16.15015062032512,0.2890030557737898
4552,6/13/2009 11:47:18 AM,13,53.0649776291102,8.7916564475745,42,23,44,51881856,,5.001441630948035,0.5081765152384927
4552,6/13/2009 11:47:23 AM,13,53.0652430839837,8.79210613667965,42,31,45,51881768,,16.605713373356537,0.7516381840046118
4552,6/13/2009 11:47:28 AM,13,53.0655488558114,8.79261458292603,42,40,44,51881768,T,11.82882377404555,1.4237107758136993
4552,6/13/2009 11:47:33 AM,13,53.0658806953579,8.79314633086324,42,0,360,51881767,F,14.653231867172906,1.0213392804582817
4552,6/13/2009 11:47:38 AM,13,53.0661107786,8.79338429309428,42,4,35,51881767,F,17.54171469203591,0.4311686023841469
